name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
angular2-uuid:1.1.1,MIT,-,-,-,Javascript,-,-,-
@angular/animations:5.2.5,MIT,-,-,-,Javascript,-,-,-
@angular/cdk:5.2.1,MIT,-,-,-,Javascript,-,-,-
@angular/common:5.2.7,MIT,-,-,-,Javascript,-,-,-
@angular/compiler:5.2.7,MIT,-,-,-,Javascript,-,-,-
@angular/core:5.2.7,MIT,-,-,-,Javascript,-,-,-
@angular/forms:5.2.7,MIT,-,-,-,Javascript,-,-,http://svn.apache.org/repos/asf/tiles/framework/tags/tiles-parent-3.0.5/OGNL-LICENSE.txt
@angular/http:5.2.7,MIT,-,-,-,Javascript,-,-,-
@angular/platform-browser:5.2.7,MIT,-,-,-,Javascript,-,-,-
@angular/platform-browser-dynamic:5.2.7,MIT,-,-,-,Javascript,-,-,-
@angular/router:5.2.7,MIT,-,-,-,Javascript,-,-,-
@types/file-saver:1.3.0,MIT,-,-,-,Javascript,-,-,-
bootstrap:4.0.0,MIT,-,-,-,Javascript,-,-,-
core-js:2.4.1,MIT,-,-,-,Javascript,-,-,-
file-saver:1.3.4,MIT,-,-,-,Javascript,-,-,-
jquery:3.3.1,MIT,-,-,-,Javascript,-,-,-
ng2-order-pipe:0.1.5,MIT,-,-,-,Javascript,-,-,-
ngx-cookie-service:1.0.10,MIT,-,-,-,Javascript,-,-,-
ngx-loading:1.0.14,MIT,-,-,-,Javascript,-,-,-
ngx-order-pipe:2.0.4,MIT,-,-,-,Javascript,-,-,-
ngx-pagination:2.0.4,MIT,-,-,-,Javascript,-,-,-
ngx-pipes:2.7.3,MIT,-,-,-,Javascript,-,-,-
ngx-select-dropdown:1.4.2,MIT,-,-,-,Javascript,-,-,-
popper:1.0.1,MIT,-,-,-,Javascript,-,-,-
rxjs:5.1.0,Apache-2.0,-,-,-,Javascript,-,-,-
tether:1.4.3,MIT,-,-,-,Javascript,-,-,-
zone.js:0.8.4,MIT,-,-,-,Javascript,-,-,-
@angular-devkit/core:0.3.2,MIT,-,-,-,Javascript,-,-,-
@angular/cli:1.7.2,MIT,-,-,-,Javascript,-,-,-
@angular/compiler-cli:5.2.7,MIT,-,-,-,Javascript,-,-,-
@ngtools/webpack:1.10.1,MIT,-,-,-,Javascript,-,-,-
@types/jasmine:2.8.6,MIT,-,-,-,Javascript,-,-,-
@types/node:9.4.6,MIT,-,-,-,Javascript,-,-,-
autoprefixer:7.2.3,MIT,-,-,-,Javascript,-,-,-
circular-dependency-plugin:4.2.1,MIT,-,-,-,Javascript,-,-,-
codelyzer:4.2.1,MIT,-,-,-,Javascript,-,-,-
copy-webpack-plugin:4.4.1,MIT,-,-,-,Javascript,-,-,-
cssnano:3.10.0,MIT,-,-,-,Javascript,-,-,-
file-loader:1.1.5,MIT,-,-,-,Javascript,-,-,-
html-webpack-plugin:2.29.0,MIT,-,-,-,Javascript,-,-,-
istanbul-instrumenter-loader:3.0.0,MIT,-,-,-,Javascript,-,-,-
jasmine-core:2.99.1,MIT,-,-,-,Javascript,-,-,-
jasmine-spec-reporter:4.2.1,MIT,-,-,-,Javascript,-,-,-
json-server:0.12.1,MIT,-,-,-,Javascript,-,-,-
karma:1.7.1,MIT,-,-,-,Javascript,-,-,-
karma-chrome-launcher:2.2.0,MIT,-,-,-,Javascript,-,-,-
karma-coverage-istanbul-reporter:2.0.0,MIT,-,-,-,Javascript,-,-,http://www.opensource.org/licenses/cpl1.0.txt
karma-jasmine:1.1.1,MIT,-,-,-,Javascript,-,-,-
karma-jasmine-html-reporter:0.2.2,MIT,-,-,-,Javascript,-,-,http://www.opensource.org/licenses/cpl1.0.txt
less-loader:4.0.5,MIT,-,-,-,Javascript,-,-,-
postcss-import:11.0.0,MIT,-,-,-,Javascript,-,-,-
postcss-loader:2.0.10,MIT,-,-,-,Javascript,-,-,-
postcss-url:7.1.2,MIT,-,-,-,Javascript,-,-,-
protractor:5.4.0,MIT,-,-,-,Javascript,-,-,-
raw-loader:0.5.1,MIT,-,-,-,Javascript,-,-,-
sass-loader:6.0.6,MIT,-,-,-,Javascript,-,-,-
script-loader:0.7.0,MIT,-,-,-,Javascript,-,-,-
source-map-loader:0.2.3,MIT,-,-,-,Javascript,-,-,-
style-loader:0.19.1,MIT,-,-,-,Javascript,-,-,-
stylus-loader:3.0.1,MIT,-,-,-,Javascript,-,-,-
ts-node:5.0.1,MIT,-,-,-,Javascript,-,-,-
tslint:5.9.1,Apache-2.0,-,-,-,Javascript,-,-,-
typescript:2.7.2,Apache-2.0,-,-,-,Javascript,-,-,-
uglifyjs-webpack-plugin:1.1.18,MIT,-,-,-,Javascript,-,-,-
url-loader:0.6.2,MIT,-,-,-,Javascript,-,-,-
webpack:3.11.0,MIT,-,-,-,Javascript,-,-,-
webpack-cli:2.0.10,MIT,-,-,-,Javascript,-,-,-
webpack-dev-server:2.11.0,MIT,-,-,-,Javascript,-,-,-
