name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
axis-1.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
axis2-ant-plugin-1.7.7.jar,"Apache-2.0",-,-,-,Java,-,-,-
axis2-xmlbeans-1.7.7.jar,"Apache-2.0",-,-,-,Java,-,-,-
batik-css-1.7.jar,"Apache-2.0",-,-,-,Java,-,-,-
bootstrap.js,"Apache-2.0",-,-,-,Java,-,-,-
bsh-2.0b4.jar,"LGPL",-,-,-,Java,-,-,-
commons-beanutils-1.9.1.jar	,"Apache-2.0",-,-,-,Java,-,-,-
commons-discovery-0.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-httpclient-3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-io-2.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
groovy-all-2.4.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
hibernate-core-4.3.5.Final.jar,"GNU",-,-,-,Java,-,-,-
httpclient-4.3.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
iride2-fbi-intf-1.0.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
itext-2.1.7.jar,"AGPL3.0",-,-,-,Java,-,-,-
itextpdf-5.1.2.jar,"AGPL3.0",-,-,-,Java,-,-,-
jackson-core-2.1.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-databind-2.1.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
jasperreports-6.2.1.jar,"LGPL",-,-,-,Java,-,-,-
jdom-1.1.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
jersey-common-2.17.jar,"Apache-2.0",-,-,-,Java,-,-,-
jquery.js,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
log4j-1.2.14.jar,"Apache-2.0",-,-,-,Java,-,-,-
lucene-queryparser-4.5.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
pdfbox-2.0.19.jar,"Apache-2.0",-,-,-,Java,-,-,-
poi-3.10.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
postgresql-9.4-1201.jdbc4.jar,"Apache-2.0",-,-,-,Java,-,-,-
preflight-2.0.19.jar,"Apache-2.0",-,-,-,Java,-,-,-
resteasy-jaxrs-2.3.10.Final-redhat-1.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-core-3.1.1.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-expression-3.1.1.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-tx-3.1.1.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-web-3.1.1.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
velocity-1.7-dep.jar,"Apache-2.0",-,-,-,Java,-,-,-
velocity-1.7.jar,"Apache-2.0",-,-,-,Java,-,-,-
weblogic-client-3.0.0.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
xalan-2.6.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
xmlbeans-2.5.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
xmlgraphics-commons-2.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
xmpbox-2.0.19.jar,"Apache-2.0",-,-,-,Java,-,-,-
